tipo_red,fecha,configuracion,segundos_entrenamiento,epoca,error_train,error_test,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
ANN,2022-09-23 12:54:48.175322,ANN_capas=[16; 16; 16; 16; 16; 16; 16; 16; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,52.70029425621033,50.0,58927.12244798655,59041.56312293908,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:55:45.907299,ANN_capas=[32; 32; 32; 32; 32; 32; 32; 32; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,57.596980571746826,50.0,54786.1448178278,57942.316142867465,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:56:49.983950,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,63.929624795913696,50.0,51958.81199565672,54231.385746632,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:14:37.153682,ANN_capas=[80; 80; 80; 80; 80; 80; 80; 80; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,68.05873084068298,50.0,50596.55134492864,56252.450399960355,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:15:49.618061,ANN_capas=[95; 95; 95; 95; 95; 95; 95; 95; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,72.32541584968567,50.0,49883.64317088318,58588.3363136384,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:17:03.502238,ANN_capas=[110; 110; 110; 110; 110; 110; 110; 110; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,73.73013639450073,50.0,49075.82899962058,58199.06473475326,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:20:54.043967,ANN_capas=[50; 50; 50; 50; 50; 50; 50; 50; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,58.103800535202026,50.0,52839.03042259576,55458.09574805107,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:45:46.010534,ANN_capas=[80; 80; 64; 64; 64; 50; 50; 50; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,62.98443794250488,50.0,51156.151223484354,58100.41073865141,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:46:57.179452,ANN_capas=[50; 50; 50; 64; 64; 64; 80; 80; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,71.02491974830627,50.0,50598.160282761266,56641.71296844756,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:48:04.175041,ANN_capas=[50; 50; 64; 80; 80; 64; 50; 50; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,66.83230447769165,50.0,51121.12424428868,57028.581185226765,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:49:07.484118,ANN_capas=[80; 80; 64; 64; 50; 50; 32; 32; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,63.146074295043945,50.0,51841.12838278118,55472.53533055795,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:50:09.665638,ANN_capas=[32; 32; 50; 50; 64; 64; 80; 80; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,62.018518924713135,50.0,51759.77990679636,58058.02559508892,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:51:15.701617,ANN_capas=[32; 50; 64; 80; 80; 64; 50; 32; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,65.85897207260132,50.0,52447.311770957334,54464.082256107096,---,---,---,---,---,---,---,---
ANN,2022-09-23 13:55:57.841331,ANN_capas=[16; 50; 64; 80; 64; 50; 32; 16; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,62.56311798095703,50.0,54771.89819606401,58454.731613445976,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:02:01.850500,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,60.773542404174805,50.0,235438.62072310905,236293.69440592357,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:03:05.736312,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,63.71569061279297,50.0,235189.79460852462,236046.8108151432,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:04:00.403665,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,54.51735281944275,41.0,50687.80050465792,57184.21936163858,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:04:20.869798,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,20.287131547927856,15.0,57874.62089724649,59396.782135061825,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:06:44.799108,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'sigmoid'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,60.107444524765015,50.0,235438.62072310905,236293.69440592357,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:07:45.847354,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'tanh'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,60.89124417304993,50.0,235189.79460852462,236046.8108151432,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:08:49.381697,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'selu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,63.39334487915039,50.0,50085.477016795994,55036.20452029736,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:09:57.037145,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=-1,67.50644183158875,50.0,51400.82614122073,53376.532371445785,---,---,---,---,---,---,---,---
ANN,2022-09-23 14:16:59.673603,ANN_capas=[64; 64; 64; 64; 64; 64; 64; 64; 1]_activaciones=['elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'elu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=rmsprop_paciencia=-1,60.51557230949402,50.0,51816.12536653045,55743.102174170395,---,---,---,---,---,---,---,---
