tipomodelo,fecha,configuracion,error_train,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
ArbolDecision,2022-06-24 21:07:50.228362,ArbolDecision_criterio=gini_profundidadMaxima=None,,0.9876977152899824,0.9951923076923077,0.971830985915493,0.983372921615202,0.7272727272727273,0.6923076923076923,0.703125,0.6976744186046512
ArbolDecision,2022-06-24 21:07:50.262530,ArbolDecision_criterio=gini_profundidadMaxima=10,,0.9472759226713533,0.9552238805970149,0.9014084507042254,0.927536231884058,0.7342657342657343,0.7166666666666667,0.671875,0.6935483870967741
ArbolDecision,2022-06-24 21:07:50.289527,ArbolDecision_criterio=gini_profundidadMaxima=50,,0.9876977152899824,0.9951923076923077,0.971830985915493,0.983372921615202,0.7272727272727273,0.6923076923076923,0.703125,0.6976744186046512
ArbolDecision,2022-06-24 21:07:50.313528,ArbolDecision_criterio=gini_profundidadMaxima=100,,0.9876977152899824,0.9951923076923077,0.971830985915493,0.983372921615202,0.7272727272727273,0.6923076923076923,0.703125,0.6976744186046512
ArbolDecision,2022-06-24 21:07:50.334526,ArbolDecision_criterio=entropy_profundidadMaxima=None,,0.9876977152899824,0.9951923076923077,0.971830985915493,0.983372921615202,0.7412587412587412,0.6901408450704225,0.765625,0.725925925925926
ArbolDecision,2022-06-24 21:07:50.352526,ArbolDecision_criterio=entropy_profundidadMaxima=10,,0.9033391915641477,0.9293478260869565,0.8028169014084507,0.8614609571788413,0.7692307692307693,0.7627118644067796,0.703125,0.7317073170731708
ArbolDecision,2022-06-24 21:07:50.371527,ArbolDecision_criterio=entropy_profundidadMaxima=50,,0.9876977152899824,0.9951923076923077,0.971830985915493,0.983372921615202,0.7412587412587412,0.6901408450704225,0.765625,0.725925925925926
ArbolDecision,2022-06-24 21:07:50.392488,ArbolDecision_criterio=entropy_profundidadMaxima=100,,0.9876977152899824,0.9951923076923077,0.971830985915493,0.983372921615202,0.7412587412587412,0.6901408450704225,0.765625,0.725925925925926
ArbolDecision,2022-06-24 21:21:56.771316,ArbolDecision_criterio=gini_profundidadMaxima=3,,0.8330404217926186,0.8041237113402062,0.7323943661971831,0.7665847665847665,0.8041958041958042,0.8103448275862069,0.734375,0.7704918032786885
ArbolDecision,2022-06-24 21:21:56.801252,ArbolDecision_criterio=gini_profundidadMaxima=5,,0.8611599297012302,0.9036144578313253,0.704225352112676,0.7915567282321898,0.8251748251748252,0.8979591836734694,0.6875,0.7787610619469025
ArbolDecision,2022-06-24 21:21:56.824105,ArbolDecision_criterio=gini_profundidadMaxima=9,,0.9279437609841827,0.9215686274509803,0.8826291079812206,0.9016786570743405,0.7202797202797203,0.6818181818181818,0.703125,0.6923076923076923
ArbolDecision,2022-06-24 21:21:56.847391,ArbolDecision_criterio=entropy_profundidadMaxima=3,,0.8330404217926186,0.8010204081632653,0.7370892018779343,0.7677261613691931,0.8181818181818182,0.8166666666666667,0.765625,0.7903225806451613
ArbolDecision,2022-06-24 21:21:56.867630,ArbolDecision_criterio=entropy_profundidadMaxima=5,,0.8506151142355008,0.8368421052631579,0.7464788732394366,0.7890818858560794,0.7972027972027972,0.8070175438596491,0.71875,0.7603305785123967
ArbolDecision,2022-06-24 21:21:56.887642,ArbolDecision_criterio=entropy_profundidadMaxima=9,,0.8945518453427065,0.9751552795031055,0.7370892018779343,0.8395721925133689,0.7972027972027972,0.8431372549019608,0.671875,0.7478260869565218
ArbolDecision,2022-06-24 21:28:06.656782,ArbolDecision_criterio=gini_profundidadMaxima=2,,0.8101933216168717,0.8776978417266187,0.5727699530516432,0.6931818181818182,0.7692307692307693,0.8780487804878049,0.5625,0.6857142857142857
ArbolDecision,2022-06-24 21:28:06.689819,ArbolDecision_criterio=gini_profundidadMaxima=4,,0.8471001757469244,0.815,0.7652582159624414,0.7893462469733655,0.8321678321678322,0.8225806451612904,0.796875,0.8095238095238094
ArbolDecision,2022-06-24 21:28:06.713906,ArbolDecision_criterio=gini_profundidadMaxima=6,,0.8840070298769771,0.9016393442622951,0.7746478873239436,0.8333333333333333,0.7832167832167832,0.8113207547169812,0.671875,0.7350427350427351
ArbolDecision,2022-06-24 21:28:06.735576,ArbolDecision_criterio=gini_profundidadMaxima=7,,0.8998242530755711,0.9382022471910112,0.784037558685446,0.8542199488491049,0.7832167832167832,0.7894736842105263,0.703125,0.743801652892562
ArbolDecision,2022-06-24 21:28:06.755135,ArbolDecision_criterio=gini_profundidadMaxima=8,,0.9173989455184535,0.9278350515463918,0.8450704225352113,0.8845208845208845,0.7762237762237763,0.7666666666666667,0.71875,0.7419354838709677
ArbolDecision,2022-06-24 21:28:06.800139,ArbolDecision_criterio=entropy_profundidadMaxima=2,,0.8101933216168717,0.8776978417266187,0.5727699530516432,0.6931818181818182,0.7692307692307693,0.8780487804878049,0.5625,0.6857142857142857
ArbolDecision,2022-06-24 21:28:06.825143,ArbolDecision_criterio=entropy_profundidadMaxima=4,,0.8418277680140598,0.8253968253968254,0.7323943661971831,0.7761194029850745,0.8181818181818182,0.8166666666666667,0.765625,0.7903225806451613
ArbolDecision,2022-06-24 21:28:06.844153,ArbolDecision_criterio=entropy_profundidadMaxima=6,,0.8699472759226714,0.9316770186335404,0.704225352112676,0.8021390374331551,0.8181818181818182,0.88,0.6875,0.7719298245614036
ArbolDecision,2022-06-24 21:28:06.863092,ArbolDecision_criterio=entropy_profundidadMaxima=7,,0.8804920913884007,0.9393939393939394,0.7276995305164319,0.82010582010582,0.8111888111888111,0.8627450980392157,0.6875,0.7652173913043478
ArbolDecision,2022-06-24 21:28:06.882150,ArbolDecision_criterio=entropy_profundidadMaxima=8,,0.8822495606326889,0.95625,0.7183098591549296,0.8203753351206435,0.8111888111888111,0.8627450980392157,0.6875,0.7652173913043478
SVM,2022-06-25 20:29:15.179032,SVM_regularizacionC=0.25_kernel=linear,,0.7820738137082601,0.7305699481865285,0.6619718309859155,0.6945812807881775,0.7972027972027972,0.7868852459016393,0.75,0.768
